id_transaction;date;id_produit;id_magasin;id_client;quantite;prix_unitaire
3274;2026-01-04;P014;M20;C689;2;3000
3291;2026-01-04;P004;M10;C641;3;2150
3375;2026-01-04;P017;M06;C614;2;2400
3741;2026-01-04;P011;M03;C596;5;2200
3812;2026-01-04;P031;M17;C326;2;7950
3826;2026-01-04;P006;M01;C536;2;21650
3828;2026-01-04;P024;M12;C433;6;5950
1103;2026-01-05;P034;M06;C759;2;36100
1211;2026-01-05;P023;M11;C632;2;9300
1290;2026-01-05;P022;M20;C718;3;3700
1541;2026-01-05;P006;M09;C351;2;20000
1884;2026-01-05;P017;M20;C591;2;2400
1951;2026-01-05;P018;M03;C540;10;3500
2017;2026-01-05;P026;M12;C763;10;7850
2197;2026-01-05;P007;M14;C785;4;3200
2278;2026-01-05;P003;M07;C455;6;1850
2335;2026-01-05;P004;M04;C546;10;2300
2518;2026-01-05;P044;M20;C321;1;8850
2545;2026-01-05;P022;M05;C573;1;3650
2648;2026-01-05;P008;M11;C454;1;3900
2734;2026-01-05;P041;M16;C570;1;17300
2803;2026-01-05;P048;M11;C380;1;1500
2944;2026-01-05;P048;M20;C468;2;1550
3026;2026-01-05;P047;M18;C622;2;22550
3115;2026-01-05;P004;M02;C420;1;2100
3117;2026-01-05;P021;M02;C633;2;2250
3245;2026-01-05;P019;M18;C512;1;1150
3404;2026-01-05;P050;M02;C321;4;18200
3412;2026-01-05;P002;M11;C361;10;10600
3458;2026-01-05;P034;M11;C426;4;34350
3508;2026-01-05;P008;M20;C510;1;3650
3736;2026-01-05;P011;M11;C562;4;2150
3929;2026-01-05;P037;M20;C607;6;251000
1038;2026-01-06;P015;M05;C412;3;6150
1112;2026-01-06;P037;M02;C735;1;246100
1440;2026-01-06;P027;M08;C781;3;1850
1581;2026-01-06;P008;M01;C403;2;3900
1619;2026-01-06;P032;M20;C590;4;15550
1752;2026-01-06;P023;M06;C362;3;9300
1778;2026-01-06;P001;M09;C694;2;2500
2136;2026-01-06;P018;M11;C519;2;3500
2168;2026-01-06;P007;M20;C441;2;3300
2321;2026-01-06;P023;M20;C646;3;9900
2368;2026-01-06;P025;M20;C443;1;3650
2425;2026-01-06;P001;M02;C459;1;2400
2515;2026-01-06;P049;M08;C364;2;3000
2650;2026-01-06;P007;M07;C638;1;3200
2673;2026-01-06;P009;M03;C603;2;2650
3025;2026-01-06;P012;M17;C737;4;5500
3271;2026-01-06;P027;M20;C556;1;1750
3327;2026-01-06;P044;M10;C306;10;8650
3534;2026-01-06;P016;M19;C406;3;7250
3551;2026-01-06;P024;M01;C407;2;6050
3601;2026-01-06;P003;M06;C584;2;1700
3937;2026-01-06;P045;M09;C624;4;8600
1002;2026-01-07;P003;M06;C542;3;1750
1274;2026-01-07;P045;M13;C441;2;8400
1278;2026-01-07;P004;M10;C795;1;2150
1582;2026-01-07;P018;M20;C335;1;3450
1704;2026-01-07;P025;M06;C678;1;3550
1712;2026-01-07;P005;M07;C455;6;4500
1788;2026-01-07;P003;M06;C617;1;1700
1804;2026-01-07;P004;M06;C790;5;2150
2028;2026-01-07;P031;M20;C530;3;7850
2101;2026-01-07;P010;M07;C350;2;4150
2111;2026-01-07;P016;M04;C403;1;7600
2203;2026-01-07;P024;M03;C405;1;5950
2323;2026-01-07;P016;M07;C492;1;7850
2526;2026-01-07;P048;M02;C469;3;1550
2644;2026-01-07;P012;M08;C787;1;5550
2772;2026-01-07;P004;M18;C518;1;2250
2834;2026-01-07;P010;M05;C625;4;3950
3002;2026-01-07;P048;M20;C452;2;1500
3219;2026-01-07;P025;M13;C546;1;3350
3529;2026-01-07;P007;M13;C787;2;3300
3637;2026-01-07;P030;M04;C444;5;6350
3738;2026-01-07;P021;M03;C526;2;2300
3786;2026-01-07;P016;M06;C383;2;7500
3921;2026-01-07;P039;M04;C574;3;39450
3972;2026-01-07;P002;M07;C774;1;11200
1023;2026-01-08;P039;M20;C404;1;38300
1061;2026-01-08;P020;M19;C339;3;8900
1168;2026-01-08;P048;M07;C447;2;1500
1430;2026-01-08;P005;M20;C565;2;4700
1455;2026-01-08;P048;M18;C628;1;1500
1815;2026-01-08;P023;M04;C570;6;9250
1818;2026-01-08;P045;M06;C376;2;8700
1848;2026-01-08;P018;M20;C323;3;3350
1882;2026-01-08;P026;M05;C632;1;7650
1992;2026-01-08;P020;M08;C462;1;8550
2034;2026-01-08;P016;M02;C410;1;7450
2058;2026-01-08;P023;M06;C314;1;9700
2068;2026-01-08;P047;M09;C607;3;21450
2100;2026-01-08;P010;M11;C334;1;3950
2196;2026-01-08;P004;M09;C404;1;2100
2372;2026-01-08;P024;M01;C483;6;6050
2408;2026-01-08;P031;M02;C657;1;8150
2586;2026-01-08;P003;M11;C562;1;1850
2624;2026-01-08;P020;M20;C599;5;8500
2667;2026-01-08;P048;M20;C800;3;1450
2934;2026-01-08;P025;M06;C490;1;3500
3055;2026-01-08;P044;M09;C662;3;8700
3080;2026-01-08;P045;M20;C716;3;8800
3116;2026-01-08;P038;M16;C362;3;569650
3301;2026-01-08;P031;M01;C465;1;8200
3476;2026-01-08;P016;M11;C499;2;7250
3554;2026-01-08;P008;M01;C363;1;3950
3879;2026-01-08;P014;M01;C313;3;2950
3895;2026-01-08;P001;M20;C575;2;2400
3927;2026-01-08;P010;M20;C547;1;4150
1172;2026-01-09;P010;M08;C789;1;4250
1207;2026-01-09;P005;M12;C715;5;4350
1307;2026-01-09;P039;M06;C449;2;37850
1538;2026-01-09;P025;M10;C499;3;3400
1596;2026-01-09;P021;M20;C361;4;2150
1720;2026-01-09;P001;M02;C354;1;2550
1864;2026-01-09;P013;M04;C403;10;3050
1923;2026-01-09;P012;M11;C717;1;5550
2112;2026-01-09;P012;M12;C656;2;5600
2193;2026-01-09;P011;M11;C600;2;2100
2619;2026-01-09;P017;M11;C748;1;2300
2881;2026-01-09;P001;M01;C647;2;2500
2904;2026-01-09;P008;M20;C734;4;3900
2956;2026-01-09;P011;M06;C418;1;2150
3056;2026-01-09;P048;M06;C430;3;1550
3071;2026-01-09;P048;M04;C618;2;1500
3136;2026-01-09;P003;M01;C742;1;1850
3177;2026-01-09;P021;M14;C464;3;2200
3214;2026-01-09;P004;M02;C384;1;2300
3244;2026-01-09;P030;M03;C334;1;6450
3384;2026-01-09;P007;M20;C385;2;3350
3407;2026-01-09;P017;M19;C381;3;2450
3448;2026-01-09;P004;M06;C568;2;2250
3491;2026-01-09;P022;M06;C630;1;3700
3993;2026-01-09;P018;M06;C798;3;3650
1049;2026-01-10;P005;M16;C671;1;4600
1184;2026-01-10;P021;M02;C645;1;2300
1227;2026-01-10;P013;M20;C503;1;3050
1390;2026-01-10;P022;M05;C433;2;3750
1727;2026-01-10;P009;M02;C499;1;2750
1731;2026-01-10;P021;M05;C529;2;2100
2077;2026-01-10;P020;M20;C718;3;8650
2410;2026-01-10;P018;M11;C381;1;3350
2552;2026-01-10;P005;M16;C305;6;4550
2669;2026-01-10;P019;M02;C340;1;1150
2846;2026-01-10;P011;M01;C612;2;2200
3004;2026-01-10;P008;M10;C460;3;3700
3461;2026-01-10;P049;M06;C556;1;2950
3522;2026-01-10;P004;M02;C418;1;2250
3586;2026-01-10;P037;M20;C628;1;256800
3597;2026-01-10;P011;M15;C352;3;2200
3785;2026-01-10;P044;M17;C314;2;8700
3962;2026-01-10;P034;M06;C562;6;34350
1022;2026-01-11;P020;M09;C486;2;8150
1161;2026-01-11;P008;M11;C670;3;3850
1385;2026-01-11;P048;M03;C790;2;1550
1399;2026-01-11;P010;M15;C763;1;4200
1432;2026-01-11;P006;M11;C542;1;21750
1500;2026-01-11;P003;M11;C344;5;1850
1705;2026-01-11;P004;M02;C702;1;2150
1709;2026-01-11;P048;M11;C721;2;1450
1780;2026-01-11;P021;M01;C675;1;2200
1846;2026-01-11;P016;M16;C358;3;7200
2135;2026-01-11;P004;M02;C528;1;2200
2341;2026-01-11;P032;M05;C379;1;15350
2393;2026-01-11;P044;M11;C392;1;8950
2411;2026-01-11;P007;M01;C726;1;3300
2658;2026-01-11;P050;M17;C452;1;17700
2709;2026-01-11;P031;M04;C339;2;7850
3149;2026-01-11;P012;M20;C554;5;5250
3158;2026-01-11;P045;M20;C344;5;8750
3259;2026-01-11;P039;M20;C557;2;38150
3348;2026-01-11;P020;M05;C377;4;8300
3385;2026-01-11;P026;M18;C476;10;7900
3394;2026-01-11;P007;M11;C786;1;3350
3646;2026-01-11;P018;M04;C761;3;3650
3647;2026-01-11;P023;M01;C358;2;9250
3718;2026-01-11;P037;M08;C471;6;238150
3761;2026-01-11;P038;M19;C594;2;540150
3788;2026-01-11;P017;M20;C312;1;2400
3876;2026-01-11;P016;M14;C417;2;7750
3893;2026-01-11;P005;M14;C352;5;4300
3910;2026-01-11;P017;M20;C504;1;2450
3941;2026-01-11;P022;M16;C703;2;3800
1014;2026-01-12;P015;M02;C372;6;6000
1025;2026-01-12;P044;M08;C329;2;8950
1142;2026-01-12;P015;M15;C656;1;6250
1173;2026-01-12;P046;M02;C614;1;75800
1193;2026-01-12;P001;M05;C733;3;2500
1270;2026-01-12;P005;M04;C722;2;4450
1321;2026-01-12;P034;M02;C671;1;33600
1342;2026-01-12;P035;M20;C627;2;53950
1453;2026-01-12;P002;M04;C341;3;11100
1460;2026-01-12;P021;M14;C587;1;2300
1568;2026-01-12;P007;M06;C502;1;3100
1617;2026-01-12;P003;M08;C486;3;1750
1630;2026-01-12;P032;M06;C760;1;14800
1759;2026-01-12;P024;M17;C479;2;6150
1796;2026-01-12;P002;M20;C448;1;11500
1817;2026-01-12;P049;M07;C552;2;2950
1824;2026-01-12;P001;M12;C440;2;2500
1964;2026-01-12;P001;M04;C499;1;2550
1983;2026-01-12;P004;M01;C358;3;2250
1999;2026-01-12;P026;M02;C403;2;7550
2225;2026-01-12;P003;M10;C709;1;1750
2253;2026-01-12;P035;M06;C415;3;57350
2485;2026-01-12;P001;M01;C695;1;2500
2524;2026-01-12;P005;M20;C489;2;4650
3039;2026-01-12;P029;M20;C640;1;2000
3087;2026-01-12;P010;M11;C761;1;4150
3137;2026-01-12;P011;M20;C404;6;2150
3161;2026-01-12;P042;M01;C307;1;16400
3165;2026-01-12;P001;M17;C420;3;2450
3347;2026-01-12;P028;M03;C616;1;12250
3838;2026-01-12;P039;M03;C397;1;37550
3949;2026-01-12;P028;M20;C783;1;11650
1067;2026-01-13;P020;M05;C618;4;8500
1138;2026-01-13;P004;M15;C511;10;2300
1204;2026-01-13;P017;M18;C372;1;2300
1252;2026-01-13;P003;M06;C578;3;1800
1293;2026-01-13;P018;M15;C672;3;3600
1442;2026-01-13;P016;M05;C693;4;7300
1540;2026-01-13;P020;M02;C728;1;8850
1562;2026-01-13;P023;M06;C675;1;9800
1748;2026-01-13;P017;M03;C603;4;2300
1768;2026-01-13;P007;M08;C403;1;3150
1941;2026-01-13;P021;M01;C777;5;2150
2059;2026-01-13;P011;M08;C466;6;2050
2276;2026-01-13;P012;M09;C784;10;5250
2283;2026-01-13;P035;M03;C548;3;57750
2542;2026-01-13;P001;M07;C776;1;2500
2763;2026-01-13;P002;M09;C381;2;10500
2810;2026-01-13;P005;M06;C384;1;4500
2865;2026-01-13;P015;M04;C357;1;6050
2982;2026-01-13;P029;M06;C615;1;1900
3034;2026-01-13;P045;M02;C508;2;8350
3064;2026-01-13;P048;M10;C786;4;1550
3068;2026-01-13;P020;M01;C611;2;8150
3143;2026-01-13;P031;M03;C496;2;8000
3286;2026-01-13;P004;M03;C785;1;2200
3408;2026-01-13;P019;M05;C446;4;1150
3652;2026-01-13;P017;M06;C328;1;2350
3821;2026-01-13;P004;M09;C788;2;2100
1241;2026-01-14;P002;M03;C493;1;10650
1633;2026-01-14;P021;M20;C571;2;2300
1679;2026-01-14;P027;M11;C720;2;1800
1862;2026-01-14;P015;M09;C647;1;5750
2007;2026-01-14;P039;M01;C354;1;36750
2385;2026-01-14;P020;M18;C737;1;8700
2503;2026-01-14;P022;M16;C460;1;3650
2609;2026-01-14;P044;M03;C757;10;8900
2612;2026-01-14;P028;M07;C627;1;12100
2767;2026-01-14;P030;M06;C435;1;6550
2831;2026-01-14;P018;M02;C652;3;3600
2920;2026-01-14;P032;M04;C557;3;14700
2931;2026-01-14;P002;M03;C671;3;11000
3129;2026-01-14;P020;M08;C764;3;8800
3324;2026-01-14;P018;M07;C362;1;3350
3424;2026-01-14;P019;M18;C557;1;1150
3470;2026-01-14;P044;M01;C715;2;8900
3562;2026-01-14;P010;M17;C343;1;4100
3574;2026-01-14;P003;M14;C533;3;1800
3771;2026-01-14;P004;M03;C362;1;2250
3802;2026-01-14;P007;M09;C418;6;3150
3851;2026-01-14;P014;M03;C778;3;2850
3859;2026-01-14;P007;M09;C509;1;3350
1317;2026-01-15;P034;M09;C612;1;33950
1573;2026-01-15;P026;M08;C479;1;7550
1649;2026-01-15;P043;M15;C662;3;3650
1749;2026-01-15;P019;M17;C413;1;1150
1766;2026-01-15;P002;M05;C528;1;11100
1772;2026-01-15;P042;M08;C388;1;16400
1926;2026-01-15;P004;M09;C797;2;2250
1953;2026-01-15;P041;M20;C364;1;17750
2027;2026-01-15;P030;M19;C433;1;6600
2159;2026-01-15;P004;M08;C681;6;2100
2249;2026-01-15;P019;M10;C425;3;1150
2334;2026-01-15;P005;M01;C503;1;4450
2681;2026-01-15;P027;M08;C791;1;1850
2722;2026-01-15;P005;M20;C639;3;4350
2964;2026-01-15;P048;M01;C495;2;1550
2977;2026-01-15;P048;M09;C513;2;1550
3037;2026-01-15;P005;M06;C560;2;4600
3101;2026-01-15;P004;M17;C335;1;2150
3444;2026-01-15;P032;M06;C557;3;15400
3770;2026-01-15;P023;M15;C346;1;9150
3980;2026-01-15;P021;M20;C613;2;2150
3989;2026-01-15;P016;M15;C792;3;7600
1148;2026-01-16;P046;M03;C534;6;71250
1438;2026-01-16;P003;M12;C762;4;1800
1473;2026-01-16;P045;M13;C640;1;8500
1521;2026-01-16;P049;M14;C498;2;3100
1723;2026-01-16;P003;M11;C493;5;1850
1857;2026-01-16;P018;M09;C554;3;3600
1865;2026-01-16;P007;M08;C556;3;3150
1874;2026-01-16;P014;M06;C493;1;2900
2003;2026-01-16;P021;M09;C475;3;2250
2010;2026-01-16;P041;M08;C513;1;18500
2090;2026-01-16;P027;M09;C486;1;1800
2288;2026-01-16;P005;M11;C393;2;4300
2336;2026-01-16;P016;M10;C710;1;7650
2355;2026-01-16;P001;M20;C753;1;2550
2466;2026-01-16;P028;M12;C534;1;11900
2635;2026-01-16;P044;M20;C489;1;8850
2701;2026-01-16;P009;M09;C415;1;2900
2962;2026-01-16;P047;M15;C484;1;22550
2990;2026-01-16;P031;M12;C564;1;8350
3075;2026-01-16;P036;M06;C450;3;81650
3241;2026-01-16;P045;M15;C650;5;8750
3510;2026-01-16;P003;M05;C607;2;1800
3617;2026-01-16;P017;M08;C757;2;2300
3709;2026-01-16;P027;M09;C588;3;1700
3904;2026-01-16;P026;M13;C420;4;7800
1153;2026-01-17;P023;M09;C528;3;9050
1354;2026-01-17;P003;M12;C611;2;1850
1655;2026-01-17;P006;M01;C499;2;21450
1663;2026-01-17;P001;M20;C326;1;2400
1667;2026-01-17;P003;M18;C658;2;1800
1757;2026-01-17;P006;M12;C568;1;20900
1807;2026-01-17;P017;M06;C406;1;2400
1880;2026-01-17;P040;M06;C680;3;5050
1927;2026-01-17;P041;M13;C706;2;18800
1936;2026-01-17;P017;M04;C411;1;2500
1944;2026-01-17;P048;M10;C598;1;1450
2024;2026-01-17;P020;M10;C410;2;8150
2086;2026-01-17;P008;M10;C417;3;3950
2125;2026-01-17;P035;M04;C494;1;56050
2149;2026-01-17;P010;M15;C556;4;4250
2260;2026-01-17;P020;M11;C414;1;8150
2271;2026-01-17;P011;M17;C744;4;2150
2345;2026-01-17;P015;M06;C399;2;6250
2427;2026-01-17;P028;M02;C509;2;12500
2487;2026-01-17;P049;M11;C699;1;2950
2582;2026-01-17;P024;M20;C750;3;6050
2630;2026-01-17;P008;M01;C319;1;3800
2640;2026-01-17;P023;M09;C363;1;9650
2737;2026-01-17;P038;M20;C742;1;527150
2799;2026-01-17;P010;M07;C447;1;3950
3157;2026-01-17;P047;M14;C583;1;21300
3413;2026-01-17;P004;M02;C695;1;2150
3480;2026-01-17;P022;M18;C598;3;3650
3481;2026-01-17;P029;M05;C428;3;2050
3710;2026-01-17;P032;M01;C485;4;14450
3730;2026-01-17;P006;M03;C731;2;21300
1039;2026-01-18;P019;M06;C718;2;1250
1156;2026-01-18;P014;M18;C748;10;2800
1316;2026-01-18;P016;M20;C562;1;7650
1754;2026-01-18;P003;M19;C614;1;1800
2071;2026-01-18;P030;M20;C750;2;6450
2107;2026-01-18;P035;M01;C460;2;55450
2142;2026-01-18;P050;M15;C679;1;18100
2198;2026-01-18;P009;M12;C690;3;2650
2333;2026-01-18;P012;M08;C484;3;5700
2523;2026-01-18;P003;M06;C653;1;1850
2576;2026-01-18;P027;M04;C370;1;1800
2942;2026-01-18;P003;M08;C503;3;1850
2978;2026-01-18;P042;M18;C301;2;15700
3126;2026-01-18;P029;M04;C412;2;2050
3164;2026-01-18;P005;M15;C342;3;4350
3402;2026-01-18;P009;M19;C648;4;2850
3460;2026-01-18;P027;M18;C379;4;1750
3640;2026-01-18;P012;M10;C348;2;5650
3689;2026-01-18;P012;M18;C451;1;5350
3690;2026-01-18;P027;M15;C734;1;1750
3772;2026-01-18;P029;M12;C774;2;2000
3966;2026-01-18;P017;M03;C373;2;2400
1056;2026-01-19;P001;M10;C600;2;2500
1090;2026-01-19;P002;M08;C516;3;10800
1157;2026-01-19;P002;M10;C613;2;11150
1398;2026-01-19;P003;M01;C606;2;1800
1493;2026-01-19;P043;M12;C776;2;3450
1580;2026-01-19;P027;M12;C493;3;1800
1597;2026-01-19;P030;M16;C751;6;6800
1626;2026-01-19;P002;M06;C375;3;11400
1697;2026-01-19;P030;M09;C740;3;6800
1833;2026-01-19;P011;M20;C370;1;2050
1986;2026-01-19;P018;M01;C386;3;3650
2042;2026-01-19;P034;M08;C780;5;36400
2275;2026-01-19;P014;M20;C648;5;3000
2384;2026-01-19;P047;M11;C706;6;23050
2389;2026-01-19;P001;M05;C417;1;2500
2431;2026-01-19;P032;M03;C794;10;15000
2453;2026-01-19;P002;M07;C453;2;11400
2555;2026-01-19;P033;M02;C712;2;46050
2560;2026-01-19;P012;M01;C596;10;5650
2567;2026-01-19;P018;M03;C795;2;3450
2594;2026-01-19;P038;M12;C388;3;550650
2665;2026-01-19;P043;M12;C420;1;3350
2671;2026-01-19;P001;M11;C485;2;2450
2686;2026-01-19;P022;M11;C696;1;3700
2699;2026-01-19;P001;M20;C752;1;2600
2703;2026-01-19;P003;M10;C561;1;1850
2771;2026-01-19;P004;M09;C301;5;2150
2818;2026-01-19;P036;M08;C385;3;84650
2888;2026-01-19;P045;M17;C408;1;8300
2987;2026-01-19;P024;M18;C422;1;6000
3079;2026-01-19;P007;M18;C397;1;3300
3240;2026-01-19;P008;M20;C755;5;4000
3615;2026-01-19;P033;M08;C589;6;45250
3622;2026-01-19;P045;M10;C523;2;8350
3725;2026-01-19;P019;M19;C780;2;1150
3744;2026-01-19;P007;M03;C635;6;3150
3783;2026-01-19;P009;M08;C484;2;2800
3907;2026-01-19;P043;M19;C340;6;3350
3935;2026-01-19;P003;M18;C308;1;1750
3953;2026-01-19;P014;M14;C590;1;2950
1057;2026-01-20;P005;M05;C592;2;4650
1084;2026-01-20;P030;M06;C355;6;6250
1101;2026-01-20;P029;M17;C338;2;2000
1375;2026-01-20;P046;M11;C697;2;78250
1406;2026-01-20;P021;M06;C462;1;2300
1599;2026-01-20;P034;M02;C395;10;33350
1653;2026-01-20;P005;M20;C676;1;4650
1898;2026-01-20;P031;M16;C733;1;7950
1972;2026-01-20;P049;M13;C454;2;3100
2145;2026-01-20;P043;M05;C671;2;3600
2152;2026-01-20;P049;M20;C591;2;3050
2178;2026-01-20;P017;M03;C666;3;2300
2387;2026-01-20;P007;M10;C437;1;3250
2397;2026-01-20;P033;M03;C376;3;44500
2414;2026-01-20;P002;M12;C610;2;11300
2541;2026-01-20;P015;M08;C471;1;5750
2695;2026-01-20;P044;M11;C490;2;9150
2969;2026-01-20;P004;M09;C320;4;2100
3217;2026-01-20;P020;M02;C407;1;8450
3264;2026-01-20;P040;M20;C397;5;5100
3681;2026-01-20;P042;M10;C524;3;16000
3682;2026-01-20;P040;M02;C565;2;5050
3908;2026-01-20;P047;M20;C447;2;22600
3932;2026-01-20;P049;M20;C638;1;3000
3992;2026-01-20;P012;M10;C613;3;5450
1175;2026-01-21;P019;M06;C565;3;1250
1337;2026-01-21;P019;M09;C554;1;1250
1364;2026-01-21;P049;M13;C375;3;3100
1395;2026-01-21;P020;M03;C501;4;8750
1603;2026-01-21;P005;M01;C692;5;4700
1620;2026-01-21;P043;M03;C665;1;3350
1782;2026-01-21;P028;M19;C683;10;12100
1878;2026-01-21;P019;M07;C554;1;1200
2365;2026-01-21;P021;M11;C305;3;2300
2417;2026-01-21;P008;M02;C494;1;4000
2568;2026-01-21;P010;M06;C710;2;4000
2732;2026-01-21;P040;M07;C668;4;4850
2866;2026-01-21;P032;M20;C506;1;15100
2957;2026-01-21;P016;M06;C780;3;7800
2976;2026-01-21;P003;M06;C415;10;1750
3006;2026-01-21;P032;M18;C787;1;15700
3007;2026-01-21;P025;M07;C400;1;3400
3113;2026-01-21;P004;M20;C330;1;2100
3122;2026-01-21;P013;M01;C713;1;2950
3140;2026-01-21;P044;M03;C513;5;8650
3226;2026-01-21;P040;M16;C432;1;4900
3799;2026-01-21;P016;M01;C307;4;7500
3808;2026-01-21;P039;M20;C526;4;39600
1135;2026-01-22;P023;M17;C717;1;9200
1176;2026-01-22;P013;M15;C748;5;2950
1238;2026-01-22;P044;M09;C494;1;8850
1257;2026-01-22;P049;M18;C365;1;2850
1311;2026-01-22;P003;M14;C706;4;1700
1753;2026-01-22;P027;M10;C525;2;1750
1797;2026-01-22;P009;M13;C555;1;2700
1803;2026-01-22;P034;M05;C491;3;36650
2232;2026-01-22;P002;M02;C364;1;10750
2689;2026-01-22;P049;M03;C744;1;3000
2897;2026-01-22;P049;M12;C601;1;3100
3352;2026-01-22;P007;M18;C401;1;3250
3363;2026-01-22;P019;M09;C713;1;1150
3451;2026-01-22;P005;M11;C697;3;4550
3472;2026-01-22;P005;M20;C659;2;4650
3630;2026-01-22;P018;M05;C304;2;3550
3645;2026-01-22;P006;M20;C506;2;20200
3665;2026-01-22;P005;M11;C468;1;4600
3687;2026-01-22;P009;M10;C699;4;2850
3827;2026-01-22;P003;M08;C731;3;1750
1007;2026-01-23;P047;M01;C729;2;21750
1013;2026-01-23;P023;M12;C508;2;9800
1075;2026-01-23;P046;M06;C793;1;72800
1124;2026-01-23;P021;M09;C372;4;2150
1203;2026-01-23;P001;M07;C532;2;2500
1210;2026-01-23;P012;M20;C441;5;5400
1273;2026-01-23;P005;M18;C729;1;4300
1323;2026-01-23;P043;M19;C485;1;3600
1417;2026-01-23;P021;M10;C747;3;2300
1491;2026-01-23;P049;M06;C467;2;3050
1628;2026-01-23;P004;M06;C639;2;2250
1758;2026-01-23;P023;M01;C393;2;9700
1763;2026-01-23;P004;M20;C328;1;2250
1829;2026-01-23;P019;M13;C426;3;1150
1870;2026-01-23;P014;M13;C379;2;2850
1875;2026-01-23;P021;M19;C456;1;2300
1976;2026-01-23;P034;M19;C324;4;33550
2121;2026-01-23;P041;M20;C311;1;18600
2131;2026-01-23;P011;M06;C656;6;2100
2192;2026-01-23;P024;M20;C463;3;6500
2373;2026-01-23;P008;M01;C637;3;4000
2482;2026-01-23;P015;M06;C382;1;5950
2661;2026-01-23;P017;M01;C305;6;2400
2717;2026-01-23;P001;M13;C615;2;2450
